ENTITY_IDENTIFIER,Author Full Name,Scopus ID,H-index,H5-2018,H5-2019,H5-2020,H5-2021,H5-2022,H5-2023,H5-2024,Citation Count,Citation per Publication Value,Academic Corporate Collaboration Rate,International Collaboration Rate
906170038,Brandon Jutras,35388335400,18.0,3.0,4.0,4.0,5.0,5.0,6.0,4.0,205,17.083334,8.333334,25.0
904322732,Justin Lemkul,23035649100,27.0,10.0,9.0,11.0,10.0,9.0,8.0,7.0,405,13.5,0.0,23.333334
905904561,Daniel Slade,55340075200,19.0,5.0,7.0,6.0,9.0,9.0,9.0,8.0,626,23.185184,11.111112,29.62963
905825910,Paul Marek,8657329700,15.0,4.0,5.0,4.0,6.0,6.0,5.0,4.0,210,8.076923,0.0,23.076923
904546679,Maria Sharakhova,6701720602,23.0,9.0,8.0,7.0,7.0,8.0,7.0,7.0,574,22.076923,15.384616,96.15385
906149117,Jacob Lahne,36444799100,17.0,4.0,6.0,7.0,9.0,12.0,11.0,9.0,515,12.261905,0.0,11.904762
905822556,Jayesh Samtani,15760852000,9.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,199,11.705882,0.0,29.411766
905393488,Samantha Harden,54881982400,22.0,9.0,10.0,10.0,10.0,11.0,12.0,10.0,1714,25.58209,2.9850745,11.940298
905160743,Valisa Hedrick,36189882600,19.0,8.0,8.0,8.0,10.0,8.0,9.0,10.0,315,6.7021275,0.0,12.765958
905758039,Brian Badgley,55636318418,26.0,7.0,8.0,11.0,12.0,11.0,10.0,7.0,520,22.608696,4.347826,13.043478
904639570,Stella Volpe,7004347350,32.0,4.0,4.0,3.0,4.0,6.0,7.0,6.0,162,3.5217392,2.173913,17.391304
904525301,David McCall,57193531745,7.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,87,5.4375,6.25,0.0
905844787,Meredith Steele,57321322600,21.0,8.0,8.0,9.0,9.0,9.0,8.0,6.0,461,24.263159,5.263158,26.31579
905470454,Mizuho Nita,7003474701,14.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,107,5.631579,0.0,31.578945
905918598,Edward Gitre,13612575800,5.0,,,1.0,1.0,2.0,2.0,2.0,47,15.666667,0.0,0.0
